CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG TÀI SẢN,Q1 2021,183.24,PIV
TÀI SẢN NGẮN HẠN,Q1 2021,25.51,PIV
Tiền Và Tương Đương Tiền,Q1 2021,0.35,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2021,0.00,PIV
Các Khoản Phải Thu,Q1 2021,24.98,PIV
"Hàng Tồn Kho, Ròng",Q1 2021,0.00,PIV
Tài Sản Lưu Động Khác,Q1 2021,0.18,PIV
TÀI SẢN DÀI HẠN,Q1 2021,157.73,PIV
Phải Thu Dài Hạn,Q1 2021,0.00,PIV
Tài Sản Cố Định,Q1 2021,1.13,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2021,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q1 2021,0.00,PIV
Đầu Tư Dài Hạn,Q1 2021,156.60,PIV
Tài Sản Dài Hạn Khác,Q1 2021,0.00,PIV
NỢ PHẢI TRẢ,Q1 2021,30.96,PIV
Nợ Ngắn Hạn,Q1 2021,30.96,PIV
Nợ Dài Hạn,Q1 2021,0.00,PIV
VỐN CHỦ SỞ HỮU,Q1 2021,152.28,PIV
Vốn Và Các Quỹ,Q1 2021,152.28,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2021,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2021,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q1 2021,183.24,PIV
TỔNG TÀI SẢN,Q2 2021,182.91,PIV
TÀI SẢN NGẮN HẠN,Q2 2021,25.37,PIV
Tiền Và Tương Đương Tiền,Q2 2021,0.23,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2021,0.00,PIV
Các Khoản Phải Thu,Q2 2021,24.95,PIV
"Hàng Tồn Kho, Ròng",Q2 2021,0.00,PIV
Tài Sản Lưu Động Khác,Q2 2021,0.19,PIV
TÀI SẢN DÀI HẠN,Q2 2021,157.54,PIV
Phải Thu Dài Hạn,Q2 2021,0.00,PIV
Tài Sản Cố Định,Q2 2021,0.94,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2021,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q2 2021,0.00,PIV
Đầu Tư Dài Hạn,Q2 2021,156.60,PIV
Tài Sản Dài Hạn Khác,Q2 2021,0.00,PIV
NỢ PHẢI TRẢ,Q2 2021,30.97,PIV
Nợ Ngắn Hạn,Q2 2021,30.97,PIV
Nợ Dài Hạn,Q2 2021,0.00,PIV
VỐN CHỦ SỞ HỮU,Q2 2021,151.93,PIV
Vốn Và Các Quỹ,Q2 2021,151.93,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2021,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2021,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q2 2021,182.91,PIV
TỔNG TÀI SẢN,Q3 2021,158.65,PIV
TÀI SẢN NGẮN HẠN,Q3 2021,1.30,PIV
Tiền Và Tương Đương Tiền,Q3 2021,0.97,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2021,0.00,PIV
Các Khoản Phải Thu,Q3 2021,0.14,PIV
"Hàng Tồn Kho, Ròng",Q3 2021,0.00,PIV
Tài Sản Lưu Động Khác,Q3 2021,0.19,PIV
TÀI SẢN DÀI HẠN,Q3 2021,157.35,PIV
Phải Thu Dài Hạn,Q3 2021,0.00,PIV
Tài Sản Cố Định,Q3 2021,0.75,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2021,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2021,0.00,PIV
Đầu Tư Dài Hạn,Q3 2021,156.60,PIV
Tài Sản Dài Hạn Khác,Q3 2021,0.00,PIV
NỢ PHẢI TRẢ,Q3 2021,7.00,PIV
Nợ Ngắn Hạn,Q3 2021,7.00,PIV
Nợ Dài Hạn,Q3 2021,0.00,PIV
