CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG TÀI SẢN,Q1 2021,"37,623.30",PLA
TÀI SẢN NGẮN HẠN,Q1 2021,"32,861.92",PLA
Tiền Và Tương Đương Tiền,Q1 2021,279.29,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2021,"31,773.20",PLA
Các Khoản Phải Thu,Q1 2021,755.11,PLA
"Hàng Tồn Kho, Ròng",Q1 2021,0.00,PLA
Tài Sản Lưu Động Khác,Q1 2021,54.32,PLA
TÀI SẢN DÀI HẠN,Q1 2021,"4,761.38",PLA
Phải Thu Dài Hạn,Q1 2021,0.00,PLA
Tài Sản Cố Định,Q1 2021,136.21,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2021,194.30,PLA
Tài Sản Dở Dang Dài Hạn,Q1 2021,45.42,PLA
Đầu Tư Dài Hạn,Q1 2021,"4,288.63",PLA
Tài Sản Dài Hạn Khác,Q1 2021,96.82,PLA
NỢ PHẢI TRẢ,Q1 2021,"26,176.08",PLA
Nợ Ngắn Hạn,Q1 2021,"26,106.41",PLA
Nợ Dài Hạn,Q1 2021,69.67,PLA
VỐN CHỦ SỞ HỮU,Q1 2021,"11,447.22",PLA
Vốn Và Các Quỹ,Q1 2021,"11,447.22",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2021,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2021,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q1 2021,"37,623.30",PLA
TỔNG TÀI SẢN,Q2 2021,"41,909.85",PLA
TÀI SẢN NGẮN HẠN,Q2 2021,"37,677.55",PLA
Tiền Và Tương Đương Tiền,Q2 2021,243.33,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2021,"36,902.89",PLA
Các Khoản Phải Thu,Q2 2021,568.27,PLA
"Hàng Tồn Kho, Ròng",Q2 2021,0.00,PLA
Tài Sản Lưu Động Khác,Q2 2021,62.92,PLA
TÀI SẢN DÀI HẠN,Q2 2021,"4,232.30",PLA
Phải Thu Dài Hạn,Q2 2021,0.00,PLA
Tài Sản Cố Định,Q2 2021,158.02,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2021,191.64,PLA
Tài Sản Dở Dang Dài Hạn,Q2 2021,29.67,PLA
Đầu Tư Dài Hạn,Q2 2021,"3,747.22",PLA
Tài Sản Dài Hạn Khác,Q2 2021,105.76,PLA
NỢ PHẢI TRẢ,Q2 2021,"30,510.00",PLA
Nợ Ngắn Hạn,Q2 2021,"30,451.83",PLA
Nợ Dài Hạn,Q2 2021,58.17,PLA
VỐN CHỦ SỞ HỮU,Q2 2021,"11,399.85",PLA
Vốn Và Các Quỹ,Q2 2021,"11,399.85",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2021,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2021,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q2 2021,"41,909.85",PLA
TỔNG TÀI SẢN,Q3 2021,"47,603.60",PLA
TÀI SẢN NGẮN HẠN,Q3 2021,"41,316.81",PLA
Tiền Và Tương Đương Tiền,Q3 2021,289.83,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2021,"40,023.34",PLA
Các Khoản Phải Thu,Q3 2021,297.32,PLA
"Hàng Tồn Kho, Ròng",Q3 2021,0.00,PLA
Tài Sản Lưu Động Khác,Q3 2021,79.59,PLA
TÀI SẢN DÀI HẠN,Q3 2021,"6,286.79",PLA
Phải Thu Dài Hạn,Q3 2021,0.00,PLA
Tài Sản Cố Định,Q3 2021,170.60,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2021,187.41,PLA
Tài Sản Dở Dang Dài Hạn,Q3 2021,34.22,PLA
Đầu Tư Dài Hạn,Q3 2021,"5,792.00",PLA
Tài Sản Dài Hạn Khác,Q3 2021,102.56,PLA
NỢ PHẢI TRẢ,Q3 2021,"35,525.66",PLA
Nợ Ngắn Hạn,Q3 2021,"35,460.51",PLA
Nợ Dài Hạn,Q3 2021,65.15,PLA
VỐN CHỦ SỞ HỮU,Q3 2021,"12,077.94",PLA
Vốn Và Các Quỹ,Q3 2021,"12,077.94",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2021,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2021,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q3 2021,"47,603.60",PLA
TỔNG TÀI SẢN,Q4 2021,"50,793.06",PLA
TÀI SẢN NGẮN HẠN,Q4 2021,"46,539.60",PLA
Tiền Và Tương Đương Tiền,Q4 2021,"1,114.24",PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2021,"43,764.39",PLA
Các Khoản Phải Thu,Q4 2021,527.73,PLA
"Hàng Tồn Kho, Ròng",Q4 2021,0.00,PLA
Tài Sản Lưu Động Khác,Q4 2021,75.33,PLA
TÀI SẢN DÀI HẠN,Q4 2021,"4,253.46",PLA
Phải Thu Dài Hạn,Q4 2021,0.00,PLA
Tài Sản Cố Định,Q4 2021,188.97,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2021,233.18,PLA
Tài Sản Dở Dang Dài Hạn,Q4 2021,34.93,PLA
Đầu Tư Dài Hạn,Q4 2021,"3,689.35",PLA
Tài Sản Dài Hạn Khác,Q4 2021,107.04,PLA
NỢ PHẢI TRẢ,Q4 2021,"36,572.97",PLA
Nợ Ngắn Hạn,Q4 2021,"36,479.18",PLA
Nợ Dài Hạn,Q4 2021,93.79,PLA
VỐN CHỦ SỞ HỮU,Q4 2021,"14,220.08",PLA
Vốn Và Các Quỹ,Q4 2021,"14,220.08",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2021,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2021,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q4 2021,"50,793.06",PLA
TỔNG TÀI SẢN,Q1 2022,"50,081.42",PLA
TÀI SẢN NGẮN HẠN,Q1 2022,"45,511.16",PLA
Tiền Và Tương Đương Tiền,Q1 2022,804.92,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2022,"44,258.27",PLA
Các Khoản Phải Thu,Q1 2022,358.77,PLA
"Hàng Tồn Kho, Ròng",Q1 2022,0.00,PLA
Tài Sản Lưu Động Khác,Q1 2022,119.99,PLA
TÀI SẢN DÀI HẠN,Q1 2022,"4,570.26",PLA
Phải Thu Dài Hạn,Q1 2022,0.00,PLA
Tài Sản Cố Định,Q1 2022,171.84,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2022,232.48,PLA
Tài Sản Dở Dang Dài Hạn,Q1 2022,53.65,PLA
Đầu Tư Dài Hạn,Q1 2022,"3,993.13",PLA
Tài Sản Dài Hạn Khác,Q1 2022,119.16,PLA
NỢ PHẢI TRẢ,Q1 2022,"35,013.40",PLA
Nợ Ngắn Hạn,Q1 2022,"34,946.11",PLA
Nợ Dài Hạn,Q1 2022,67.30,PLA
VỐN CHỦ SỞ HỮU,Q1 2022,"15,068.01",PLA
Vốn Và Các Quỹ,Q1 2022,"15,068.01",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2022,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2022,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q1 2022,"50,081.42",PLA
TỔNG TÀI SẢN,Q2 2022,"43,271.69",PLA
TÀI SẢN NGẮN HẠN,Q2 2022,"38,842.01",PLA
Tiền Và Tương Đương Tiền,Q2 2022,238.48,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2022,"37,921.80",PLA
Các Khoản Phải Thu,Q2 2022,535.36,PLA
