CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q2 2014,8.79,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2014,23.98,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2014,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2014,32.78,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2014,29.93,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2014,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2014,62.71,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2014,-2.12,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2014,-1.56,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2014,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2014,-3.68,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2014,62.71,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2014,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2014,59.03,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q4 2014,23.22,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2014,-22.96,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2014,0.45,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2014,0.72,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2014,59.03,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2014,-0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2014,59.75,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q1 2015,45.79,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2015,0.74,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2015,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2015,46.53,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2015,59.75,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2015,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2015,106.28,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q2 2015,-45.79,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2015,17.81,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2015,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2015,-27.98,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2015,106.28,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2015,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2015,78.30,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2015,-26.51,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2015,55.77,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2015,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2015,29.26,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2015,78.30,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2015,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2015,107.56,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q4 2015,18.44,PLA
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2015,-18.31,PLA
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2015,0.00,PLA
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2015,0.13,PLA
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2015,107.56,PLA
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2015,0.00,PLA
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2015,107.69,PLA
