CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Các Khoản Giảm Trừ,Q1 2021,0.00,AGG
Doanh Số Thuần,Q1 2021,342.74,AGG
Giá Vốn Hàng Bán,Q1 2021,-215.47,AGG
Lãi Gộp,Q1 2021,127.27,AGG
Thu Nhập Tài Chính,Q1 2021,31.72,AGG
Chi Phí Tài Chính,Q1 2021,-57.79,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2021,-0.65,AGG
Chi Phí Bán Hàng,Q1 2021,-52.47,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2021,-23.17,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2021,24.91,AGG
"Thu Nhập Khác, Ròng",Q1 2021,1.35,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2021,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2021,26.27,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2021,-19.11,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2021,7.16,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2021,1.75,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2021,5.41,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2021,65,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2021,65,AGG
EBITDA,Q1 2021,53.31,AGG
Các Khoản Giảm Trừ,Q2 2021,0.00,AGG
Doanh Số Thuần,Q2 2021,260.41,AGG
Giá Vốn Hàng Bán,Q2 2021,-221.35,AGG
Lãi Gộp,Q2 2021,39.06,AGG
Thu Nhập Tài Chính,Q2 2021,200.70,AGG
Chi Phí Tài Chính,Q2 2021,-77.16,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2021,74.97,AGG
Chi Phí Bán Hàng,Q2 2021,-26.73,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2021,-27.63,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2021,183.21,AGG
"Thu Nhập Khác, Ròng",Q2 2021,4.43,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2021,--,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2021,187.64,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2021,1.80,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2021,189.45,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2021,-0.54,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2021,189.98,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2021,2297,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2021,2297,AGG
EBITDA,Q2 2021,-6.37,AGG
Các Khoản Giảm Trừ,Q3 2021,0.00,AGG
Doanh Số Thuần,Q3 2021,84.23,AGG
Giá Vốn Hàng Bán,Q3 2021,-40.68,AGG
Lãi Gộp,Q3 2021,43.55,AGG
Thu Nhập Tài Chính,Q3 2021,60.46,AGG
Chi Phí Tài Chính,Q3 2021,-76.48,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2021,15.66,AGG
Chi Phí Bán Hàng,Q3 2021,-10.49,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2021,-26.38,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2021,6.33,AGG
"Thu Nhập Khác, Ròng",Q3 2021,0.87,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2021,--,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2021,7.19,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2021,-4.30,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2021,2.90,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2021,-6.31,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2021,9.20,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2021,111,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2021,111,AGG
EBITDA,Q3 2021,28.68,AGG
Các Khoản Giảm Trừ,Q4 2021,-10.49,AGG
Doanh Số Thuần,Q4 2021,"1,120.99",AGG
Giá Vốn Hàng Bán,Q4 2021,-932.09,AGG
Lãi Gộp,Q4 2021,188.89,AGG
Thu Nhập Tài Chính,Q4 2021,317.26,AGG
Chi Phí Tài Chính,Q4 2021,-51.34,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2021,-22.70,AGG
Chi Phí Bán Hàng,Q4 2021,-118.26,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q4 2021,-36.03,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2021,277.81,AGG
"Thu Nhập Khác, Ròng",Q4 2021,-4.74,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2021,--,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2021,273.07,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2021,-51.41,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2021,221.66,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2021,6.88,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2021,214.78,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2021,2596,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2021,2596,AGG
EBITDA,Q4 2021,33.57,AGG
Các Khoản Giảm Trừ,Q1 2022,0.00,AGG
Doanh Số Thuần,Q1 2022,562.62,AGG
Giá Vốn Hàng Bán,Q1 2022,-441.32,AGG
Lãi Gộp,Q1 2022,121.30,AGG
Thu Nhập Tài Chính,Q1 2022,73.08,AGG
Chi Phí Tài Chính,Q1 2022,-86.30,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2022,-3.58,AGG
Chi Phí Bán Hàng,Q1 2022,-55.28,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2022,-24.79,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2022,24.43,AGG
"Thu Nhập Khác, Ròng",Q1 2022,4.75,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2022,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2022,29.18,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2022,-25.60,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2022,3.57,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2022,2.27,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2022,1.30,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2022,15,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2022,0,AGG
EBITDA,Q1 2022,42.88,AGG
Các Khoản Giảm Trừ,Q2 2022,0.00,AGG
Doanh Số Thuần,Q2 2022,"2,709.30",AGG
Giá Vốn Hàng Bán,Q2 2022,"-2,178.60",AGG
Lãi Gộp,Q2 2022,530.70,AGG
Thu Nhập Tài Chính,Q2 2022,79.49,AGG
Chi Phí Tài Chính,Q2 2022,-103.06,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2022,-30.23,AGG
Chi Phí Bán Hàng,Q2 2022,-253.12,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2022,-33.11,AGG
