Tên công ty,Mã SIC,Tên ngành,Mã ngành ICB,Năm thành lập,Vốn điều lệ,Số lượng nhân viên,Số lượng chi nhánh,Ngày niêm yết,Nơi niêm yết,Giá chào sàn (x1000),KL đang niêm yết,Thị giá vốn,SLCP lưu hành
Ngân hàng Thương mại Cổ phần Á Châu,AGG,Bất động sản,8633,18/01/2012,"1,625.28 Tỷ",94,0,09/01/2020,HOSE,25.00,"162,528,081","2,584.20 Tỷ","162,528,081"
Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,LEC,Bất động sản,8633,06/12/2007,261.00 Tỷ,44,0,14/06/2017,HOSE,11.00,"26,100,000",150.60 Tỷ,"26,100,000"
Công ty Cổ phần Bất động sản Điện lực Miền Trung,BIG,Bất động sản,8637,07/11/2017,143.35 Tỷ,18,0,10/01/2022,Upcom,10.90,"14,335,000",93.99 Tỷ,"15,085,000"
Công ty cổ phần BIG Invest Group,FDC,Bất động sản,8633,27/12/1993,386.30 Tỷ,29,0,18/01/2010,HOSE,47.00,"38,629,988",614.11 Tỷ,"38,623,488"
Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,API,Bất động sản,8633,30/07/2006,840.84 Tỷ,130,0,13/09/2010,HNX,17.30,"84,083,976",672.67 Tỷ,"84,083,976"
Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,D11,Bất động sản,8633,22/10/2004,73.38 Tỷ,96,0,25/02/2011,HNX,67.00,"7,338,138",75.58 Tỷ,"7,338,138"
Công ty Cổ phần Địa ốc 11,HAR,Bất động sản,8633,10/07/2007,"1,013.50 Tỷ",7,0,17/01/2013,HOSE,12.00,"101,350,100",310.02 Tỷ,"95,684,090"
Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,XDH,Bất động sản,8633,10/04/2013,270.27 Tỷ,151,0,22/10/2018,Upcom,29.80,"27,026,907",383.78 Tỷ,"27,026,907"
Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,C21,Bất động sản,8633,10/10/1997,193.36 Tỷ,192,0,01/11/2016,Upcom,18.00,"19,336,371",357.33 Tỷ,"18,138,647"
Công ty Cổ phần Thế kỷ 21,D2D,Bất động sản,8633,03/01/2006,303.05 Tỷ,78,0,14/08/2009,HOSE,0.00,"30,304,758",962.26 Tỷ,"30,259,742"
Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,CK8,Bất động sản,8633,11/07/2008,30.00 Tỷ,19,0,06/01/2023,Upcom,3.50,"3,000,000",10.80 Tỷ,"3,000,000"
Công ty Cổ phần Cơ khí 120,AAV,Bất động sản,8633,12/04/2010,689.88 Tỷ,13,0,25/06/2018,HNX,12.20,"68,987,661",524.31 Tỷ,"68,987,661"
Công ty Cổ phần AAV Group,CLG,Bất động sản,8633,17/12/2004,211.50 Tỷ,1,0,09/08/2010,Upcom,0.80,"21,150,000",10.57 Tỷ,"21,150,000"
Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,MGR,Bất động sản,8633,08/05/2013,200.00 Tỷ,9,0,28/04/2022,Upcom,10.00,"20,000,000",100.00 Tỷ,"20,000,000"
Công ty cổ phần Tập đoàn MGROUP,HPI,Bất động sản,8633,14/06/2007,600.00 Tỷ,188,0,05/10/2017,Upcom,16.00,"60,000,000",780.00 Tỷ,"60,000,000"
Công ty Cổ phần Khu công nghiệp Hiệp Phước,DRH,Bất động sản,8633,06/03/2006,"1,243.54 Tỷ",54,0,26/07/2010,HOSE,17.00,"124,353,866",235.04 Tỷ,"123,707,866"
Công ty Cổ phần DRH Holdings,FIR,Bất động sản,8633,17/09/2014,642.45 Tỷ,32,0,18/10/2018,HOSE,12.00,"64,245,281",330.86 Tỷ,"64,245,281"
Công ty Cổ phần Địa ốc First Real,BCM,Bất động sản,8633,28/04/2006,"10,350.00 Tỷ","3,904",0,21/02/2018,HOSE,28.00,"1,035,000,000","67,482.00 Tỷ","1,035,000,000"
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,CCL,Bất động sản,8633,05/09/2007,595.81 Tỷ,79,0,03/03/2011,HOSE,23.00,"59,581,418",508.23 Tỷ,"59,581,418"
Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,BVL,Bất động sản,8637,21/10/2008,827.88 Tỷ,47,0,11/06/2021,Upcom,10.40,"82,788,300",811.33 Tỷ,"82,788,300"
Công ty Cổ phần BV Land,HQC,Bất động sản,8633,23/03/2007,"5,766.00 Tỷ",112,0,20/10/2010,HOSE,38.00,"576,600,000","1,770.16 Tỷ","576,599,274"
Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,DXG,Bất động sản,8633,23/11/2007,"7,224.51 Tỷ","2,542",0,22/12/2009,HOSE,48.00,"722,450,921","12,107.82 Tỷ","720,703,435"
Công ty Cổ phần Tập đoàn Đất Xanh,BII,Bất động sản,8633,29/05/2008,576.80 Tỷ,12,0,22/09/2014,Upcom,1.10,"57,680,000",40.38 Tỷ,"57,680,000"
