time,open,high,low,close,volume,Mã Chứng Khoán,Status
2024-12-17,15.9,16.2,15.9,15.95,401100,AGG,New
2024-12-17,6.0,6.2,6.0,6.1,33300,BIG,New
2024-12-17,7.9,8.2,7.9,8.1,163800,API,New
2024-12-17,10.2,10.9,10.2,10.2,5000,D11,New
2024-12-17,3.31,3.34,3.29,3.3,43000,HAR,New
2024-12-17,31.45,31.7,31.45,31.5,32900,D2D,New
2024-12-17,7.7,7.8,7.5,7.6,514800,AAV,New
2024-12-17,4.3,4.3,4.3,4.3,100,MGR,New
2024-12-17,5.65,6.02,5.65,6.02,317700,FIR,New
2024-12-17,68.0,68.0,67.4,67.8,124200,BCM,New
2024-12-17,9.0,9.09,8.85,9.03,246000,CCL,New
2024-12-17,6.1,6.2,6.0,6.1,553800,IDJ,New
2024-12-17,3.12,3.14,3.1,3.11,1401200,HQC,New
2024-12-17,18.0,18.1,17.8,18.0,8410100,DXG,New
2024-12-17,15.4,15.4,15.15,15.3,2224000,TCH,New
2024-12-17,6.5,6.6,6.2,6.2,101300,HU6,New
2024-12-17,13.6,13.7,13.6,13.65,399100,IJC,New
2024-12-17,9.28,9.7,9.26,9.7,537900,HTN,New
2024-12-17,7.6,7.83,7.56,7.71,1383700,DXS,New
2024-12-17,20.15,20.2,19.8,20.0,6520400,DIG,New
2024-12-17,66.9,66.9,66.6,66.7,53400,SSH,New
2024-12-17,33.0,33.0,33.0,33.0,600,MH3,New
2024-12-17,14.0,14.1,13.9,13.9,1770800,CEO,New
2024-12-17,26.4,26.75,26.25,26.3,2042600,HDC,New
2024-12-17,30.45,30.7,30.15,30.3,2023200,HDG,New
2024-12-17,34.6,35.3,34.6,35.0,4368800,KDH,New
2024-12-17,5.56,5.6,5.39,5.41,7282300,KHG,New
2024-12-17,7.25,7.26,7.16,7.24,113100,CRE,New
2024-12-17,8.3,8.3,8.3,8.3,1000,HD8,New
2024-12-17,10.1,10.6,10.1,10.5,9700,LSG,New
2024-12-17,36.35,36.35,36.0,36.1,64900,LHG,New
2024-12-17,38.6,38.7,38.6,38.65,376900,KOS,New
2024-12-17,10.75,10.85,10.65,10.7,194800,ITC,New
2024-12-17,34.0,34.5,34.0,34.5,800,MA1,New
2024-12-17,28.35,28.4,28.1,28.2,1429900,KBC,New
2024-12-17,12.7,12.8,12.5,12.6,4300,HD6,New
2024-12-17,4.1,4.15,4.0,4.09,24300,DTA,New
2024-12-17,22.2,22.5,22.2,22.5,3600,CKG,New
2024-12-17,4.75,4.79,4.72,4.73,800600,HPX,New
2024-12-17,22.1,22.75,22.1,22.75,24500,NBB,New
2024-12-17,2.42,2.51,2.4,2.44,86200,LGL,New
2024-12-17,8.9,8.9,8.7,8.8,27600,NDN,New
2024-12-17,37.8,37.9,37.15,37.2,2432300,NLG,New
2024-12-17,4.5,4.6,4.4,4.6,666600,NRC,New
2024-12-17,18.7,18.85,18.6,18.7,960400,NTL,New
2024-12-17,7.8,7.8,7.8,7.8,300,NVT,New
2024-12-17,211.5,211.5,207.1,208.2,1700,NTC,New
2024-12-17,2.9,2.9,2.8,2.9,79200,PIV,New
2024-12-17,2.8,2.83,2.75,2.81,17000,PTL,New
2024-12-17,27.1,27.4,27.0,27.1,735000,DTD,New
2024-12-17,21.5,21.65,21.3,21.3,4564600,PDR,New
2024-12-17,17.3,17.6,17.3,17.6,9600,HLD,New
2024-12-17,3.4,3.4,3.3,3.4,27300,PWA,New
2024-12-17,13.1,13.1,12.9,13.0,21500,PXL,New
2024-12-17,1.88,1.89,1.85,1.87,1855500,LDG,New
2024-12-17,17.8,17.8,17.8,17.8,1000,HD2,New
2024-12-17,11.3,11.45,11.25,11.35,214900,QCG,New
2024-12-17,38.1,38.1,37.2,37.7,71300,IDV,New
2024-12-17,57.0,57.6,56.6,56.7,836900,IDC,New
